clean_date,SAMPLE,WEIGHT,APPROVE,DISAPPROVE,ADJUSTED_APPROVE,ADJUSTED_DISAPPROVE,day,month,year
2021-07-27,7460.571428571428,1.237142857142857,47.714285714285715,44.57142857142857,48.857142857142854,44.285714285714285,27,7,2021
2021-07-28,5683.9,1.2650000000000001,49.9,43.2,50.3,43.9,28,7,2021
2021-07-29,4765.538461538462,0.9761538461538461,50.76923076923077,43.46153846153846,50.76923076923077,44.23076923076923,29,7,2021
2021-07-30,5065.0,0.8225000000000001,50.5,43.416666666666664,50.75,44.166666666666664,30,7,2021
2021-07-31,4858.307692307692,0.6392307692307693,50.46153846153846,44.0,50.61538461538461,44.61538461538461,31,7,2021
2021-08-01,5220.25,0.645,51.083333333333336,43.416666666666664,51.083333333333336,44.166666666666664,1,8,2021
2021-08-02,5162.333333333333,0.8191666666666667,50.083333333333336,43.583333333333336,50.333333333333336,44.416666666666664,2,8,2021
2021-08-03,7660.714285714285,1.05,50.142857142857146,44.57142857142857,50.42857142857143,44.714285714285715,3,8,2021
2021-08-04,8092.857142857143,1.1014285714285714,51.285714285714285,44.42857142857143,50.0,44.285714285714285,4,8,2021
2021-08-05,8092.857142857143,1.0885714285714285,51.285714285714285,44.42857142857143,50.0,44.285714285714285,5,8,2021
2021-08-06,9457.166666666666,1.1033333333333333,51.166666666666664,44.833333333333336,50.333333333333336,44.833333333333336,6,8,2021
2021-08-07,6804.555555555556,1.0333333333333334,50.77777777777778,44.888888888888886,50.0,45.22222222222222,7,8,2021
2021-08-08,6231.4,1.1039999999999999,50.4,45.2,49.9,45.2,8,8,2021
2021-08-09,5864.909090909091,1.0072727272727273,50.90909090909091,44.72727272727273,50.36363636363637,45.0,9,8,2021
2021-08-10,6702.0,1.2133333333333334,50.55555555555556,45.111111111111114,50.111111111111114,44.77777777777778,10,8,2021
2021-08-11,7012.5,0.82875,51.125,45.0,51.0,45.0,11,8,2021
2021-08-12,5523.363636363636,0.8109090909090909,51.72727272727273,44.63636363636363,51.09090909090909,45.09090909090909,12,8,2021
2021-08-13,4673.333333333333,0.7733333333333333,52.13333333333333,44.0,51.266666666666666,45.2,13,8,2021
2021-08-14,4400.0,0.855,51.1875,44.5,50.5625,45.5,14,8,2021
2021-08-15,4229.411764705882,0.8458823529411764,50.88235294117647,45.05882352941177,50.411764705882355,45.64705882352941,15,8,2021
2021-08-16,4058.222222222222,0.8538888888888888,50.05555555555556,45.5,49.55555555555556,46.166666666666664,16,8,2021
2021-08-17,5155.0,0.9521428571428572,48.92857142857143,46.357142857142854,48.714285714285715,46.857142857142854,17,8,2021
2021-08-18,5173.285714285715,0.7942857142857144,48.285714285714285,47.142857142857146,48.07142857142857,47.714285714285715,18,8,2021
2021-08-19,5638.153846153846,0.6584615384615385,48.07692307692308,47.76923076923077,47.84615384615385,48.61538461538461,19,8,2021
2021-08-20,5826.166666666667,0.8325,47.833333333333336,47.5,47.416666666666664,48.166666666666664,20,8,2021
2021-08-21,5326.285714285715,0.6221428571428572,48.142857142857146,46.642857142857146,47.714285714285715,47.714285714285715,21,8,2021
2021-08-22,5326.285714285715,0.6221428571428572,48.142857142857146,46.642857142857146,47.714285714285715,47.714285714285715,22,8,2021
2021-08-23,6211.0,0.5472727272727272,47.81818181818182,47.36363636363637,47.81818181818182,48.27272727272727,23,8,2021
2021-08-24,6732.1,0.445,48.1,46.8,47.9,48.0,24,8,2021
2021-08-25,8026.625,0.46625,49.25,46.75,48.625,48.0,25,8,2021
2021-08-26,7139.555555555556,0.7244444444444444,48.111111111111114,47.77777777777778,47.666666666666664,48.44444444444444,26,8,2021
2021-08-27,7139.333333333333,0.77,48.0,48.111111111111114,47.666666666666664,48.666666666666664,27,8,2021
2021-08-28,6159.181818181818,0.7009090909090909,47.63636363636363,47.81818181818182,47.36363636363637,48.63636363636363,28,8,2021
2021-08-29,6050.636363636364,0.879090909090909,46.81818181818182,48.45454545454545,46.72727272727273,48.90909090909091,29,8,2021
2021-08-30,5081.214285714285,0.9835714285714285,46.57142857142857,48.857142857142854,46.57142857142857,49.214285714285715,30,8,2021
2021-08-31,6103.090909090909,1.0863636363636364,46.36363636363637,48.72727272727273,46.54545454545455,49.0,31,8,2021
2021-09-01,5269.846153846154,1.1546153846153846,46.23076923076923,48.92307692307692,46.15384615384615,49.53846153846154,1,9,2021
2021-09-02,5407.461538461538,0.8638461538461539,46.69230769230769,48.53846153846154,46.23076923076923,49.61538461538461,2,9,2021
2021-09-03,6978.625,1.05125,46.625,47.625,46.0,49.375,3,9,2021
2021-09-04,5852.4,0.9410000000000001,46.0,46.8,45.6,48.6,4,9,2021
2021-09-05,5456.727272727273,0.9190909090909091,46.0,47.36363636363637,45.81818181818182,48.45454545454545,5,9,2021
2021-09-06,5933.5,0.917,46.8,48.3,46.6,49.0,6,9,2021
2021-09-07,5734.6,1.267,46.6,49.1,46.3,49.2,7,9,2021
2021-09-08,4985.083333333333,1.2016666666666667,47.416666666666664,48.833333333333336,46.833333333333336,49.0,8,9,2021
2021-09-09,4984.833333333333,1.1233333333333333,47.416666666666664,49.416666666666664,47.0,49.166666666666664,9,9,2021
2021-09-10,4458.666666666667,0.8646666666666667,46.666666666666664,48.86666666666667,46.13333333333333,49.4,10,9,2021
2021-09-11,4317.5,0.813125,46.8125,48.625,46.25,49.3125,11,9,2021
2021-09-12,4481.6,0.934,46.8,49.0,46.53333333333333,49.4,12,9,2021
2021-09-13,4849.6875,1.088125,46.6875,49.25,46.4375,49.5625,13,9,2021
2021-09-14,6399.090909090909,1.2536363636363637,46.54545454545455,49.81818181818182,46.18181818181818,49.90909090909091,14,9,2021
2021-09-15,6406.636363636364,1.3354545454545454,46.63636363636363,49.81818181818182,46.09090909090909,50.18181818181818,15,9,2021
2021-09-16,5627.071428571428,1.2135714285714287,46.92857142857143,49.285714285714285,46.285714285714285,50.0,16,9,2021
2021-09-17,5649.285714285715,1.0078571428571428,47.42857142857143,48.42857142857143,46.785714285714285,49.285714285714285,17,9,2021
2021-09-18,5438.866666666667,0.8893333333333333,47.4,48.06666666666667,46.8,49.2,18,9,2021
2021-09-19,5691.642857142857,0.9757142857142858,47.07142857142857,47.214285714285715,46.714285714285715,48.5,19,9,2021
2021-09-20,5333.2307692307695,0.8823076923076922,47.07692307692308,46.76923076923077,46.84615384615385,48.15384615384615,20,9,2021
2021-09-21,7847.571428571428,1.1042857142857143,46.857142857142854,48.0,46.714285714285715,48.142857142857146,21,9,2021
2021-09-22,7634.0,1.1871428571428573,46.42857142857143,49.0,46.0,48.857142857142854,22,9,2021
2021-09-23,6281.888888888889,1.1188888888888888,46.77777777777778,49.44444444444444,46.0,49.44444444444444,23,9,2021
2021-09-24,5836.3,1.012,47.1,47.8,45.8,48.8,24,9,2021
2021-09-25,5836.3,1.012,47.1,47.8,45.8,48.8,25,9,2021
2021-09-26,6336.444444444444,1.1188888888888888,46.0,49.333333333333336,45.55555555555556,49.333333333333336,26,9,2021
2021-09-27,6438.0,0.9044444444444445,46.666666666666664,48.333333333333336,45.55555555555556,48.77777777777778,27,9,2021
2021-09-28,8940.5,0.965,46.0,48.166666666666664,45.166666666666664,48.5,28,9,2021
2021-09-29,7960.142857142857,1.0142857142857145,46.57142857142857,47.857142857142854,46.0,49.142857142857146,29,9,2021
2021-09-30,8628.5,0.9933333333333335,45.166666666666664,48.0,45.166666666666664,49.0,30,9,2021
2021-10-01,6956.875,1.1375000000000002,43.375,49.25,44.125,49.875,1,10,2021
2021-10-02,7111.875,0.9762500000000001,43.25,49.875,43.75,50.875,2,10,2021
2021-10-03,6400.333333333333,0.7344444444444445,42.55555555555556,51.111111111111114,43.22222222222222,51.44444444444444,3,10,2021
2021-10-04,5869.0,0.8470000000000001,42.3,51.5,43.1,51.5,4,10,2021
2021-10-05,7418.0,0.9742857142857143,42.42857142857143,49.714285714285715,43.57142857142857,49.42857142857143,5,10,2021
2021-10-06,6153.888888888889,0.8311111111111111,44.888888888888886,50.666666666666664,45.22222222222222,50.44444444444444,6,10,2021
2021-10-07,6198.111111111111,0.7822222222222223,46.55555555555556,49.888888888888886,46.22222222222222,50.0,7,10,2021
2021-10-08,5452.454545454545,0.6654545454545455,46.27272727272727,50.45454545454545,45.90909090909091,51.0,8,10,2021
2021-10-09,5402.090909090909,0.6454545454545454,45.18181818181818,50.63636363636363,44.81818181818182,51.18181818181818,9,10,2021
2021-10-10,5822.3,0.653,45.0,50.7,44.7,51.2,10,10,2021
2021-10-11,5511.272727272727,0.5636363636363636,45.09090909090909,49.81818181818182,44.63636363636363,50.63636363636363,11,10,2021
2021-10-12,5637.272727272727,0.5409090909090909,44.54545454545455,49.90909090909091,44.36363636363637,50.81818181818182,12,10,2021
2021-10-13,5803.0,0.766,43.9,50.0,44.0,50.4,13,10,2021
2021-10-14,4985.75,0.7875,44.166666666666664,50.416666666666664,44.25,50.666666666666664,14,10,2021
2021-10-15,5386.909090909091,0.9327272727272727,44.09090909090909,49.81818181818182,44.09090909090909,50.63636363636363,15,10,2021
2021-10-16,4468.357142857143,1.0221428571428572,44.07142857142857,50.285714285714285,44.0,50.857142857142854,16,10,2021
2021-10-17,3909.235294117647,1.0223529411764705,44.294117647058826,49.705882352941174,44.294117647058826,50.294117647058826,17,10,2021
2021-10-18,4230.066666666667,1.0626666666666666,44.93333333333333,50.333333333333336,44.6,50.53333333333333,18,10,2021
2021-10-19,4555.384615384615,1.146923076923077,44.92307692307692,50.30769230769231,44.76923076923077,50.23076923076923,19,10,2021
